timestamp,rr_interval
0.812,812.22
1.648,836.04
2.474,826.12
3.302,827.93
4.137,834.83
4.937,800.23
5.736,798.16
6.55,814.32
7.345,795.58
8.125,779.83
8.904,778.6
9.272,368.61
9.687,414.86
10.127,439.49
10.471,343.97
13.677,3206.6
14.482,804.9
15.305,822.8
16.113,808.42
16.94,826.34
17.78,839.82
18.614,834.32
19.426,812.28
20.23,804.26
21.06,829.26
21.9,839.99
22.737,837.42
23.581,843.92
24.405,824.33
25.241,835.6
26.092,850.62
26.901,809.1
27.669,768.16
28.471,802.04
29.244,773.4
30.004,760.14
30.781,776.08
31.613,832.76
32.458,844.88
33.309,851.05
34.165,855.76
35.019,853.76
35.875,856.22
36.695,819.66
37.502,807.77
38.314,811.91
39.13,815.82
39.932,802.31
40.775,843.04
41.65,874.42
42.528,878.26
43.375,846.5
44.239,864.75
45.134,894.75
45.982,848.16
46.798,815.75
47.606,807.98
48.433,827.38
49.269,835.17
50.084,815.77
50.925,841.1
51.747,821.83
52.596,848.6
53.428,832.44
54.254,826.04
55.088,833.17
55.875,787.26
56.694,819.23
57.525,830.54
58.363,838.25
59.192,828.91
60.013,821.12
60.819,805.88
61.672,853.17
62.557,885.48
63.432,874.92
64.274,841.65
65.121,846.83
65.958,837.34
66.801,842.38
67.619,818.0
68.433,814.79
69.226,792.38
70.05,824.13
70.898,848.16
71.753,854.61
72.608,855.84
73.465,857.05
74.344,878.84
75.185,840.64
76.029,843.62
76.824,795.65
77.615,790.33
78.394,779.54
79.147,752.42
79.921,774.69
80.76,838.69
81.549,789.38
82.364,814.8
83.191,827.3
84.044,853.12
84.86,815.06
85.667,807.6
86.471,803.38
87.213,742.37
87.946,732.92
88.703,756.89
89.463,760.4
90.269,806.28
91.099,830.03
91.912,812.73
92.752,839.71
93.586,834.36
94.423,836.56
95.26,837.51
96.067,806.81
96.829,761.65
97.623,793.75
98.415,792.17
99.216,801.24
99.999,782.74
100.801,802.49
101.622,820.8
102.487,864.72
103.346,859.25
104.219,873.2
105.042,823.11
105.862,819.9
106.677,814.96
107.457,779.95
108.279,821.53
109.105,826.68
109.918,812.64
110.711,792.97
111.529,818.38
112.377,847.41
113.19,813.53
114.005,815.26
114.811,805.94
115.599,787.33
116.372,773.52
117.152,779.49
117.933,781.58
118.683,749.88
119.449,765.73
120.25,801.16
121.065,814.82
121.868,803.12
122.684,816.3
123.546,862.09
124.351,804.81
125.17,818.38
125.97,800.63
126.748,778.09
127.518,769.44
128.294,776.51
129.074,779.47
129.836,762.55
130.646,809.56
131.458,812.01
132.286,827.81
133.122,835.95
133.959,837.33
134.436,477.41
134.764,327.57
135.173,409.42
135.569,395.56
136.353,784.21
137.109,755.63
137.847,738.67
138.57,722.31
139.295,725.64
140.05,755.0
140.817,766.44
141.626,808.72
142.487,861.22
143.318,831.13
144.102,784.29
144.894,792.17
145.674,779.93
146.443,769.19
147.191,747.04
147.955,764.49
148.757,802.08
151.163,2405.92
151.995,832.13
152.801,805.65
153.618,816.89
154.417,798.88
155.231,814.65
156.026,795.26
156.797,770.98
157.578,780.91
158.368,789.46
159.155,786.88
159.939,784.07
160.72,781.28
161.557,836.91
162.366,808.71
163.187,821.65
164.022,835.0
164.865,842.88
165.678,812.4
166.476,798.58
167.251,774.98
168.043,791.58
168.803,760.22
169.58,777.04
170.354,773.69
173.59,3236.18
173.87,280.02
174.402,532.44
174.738,335.9
175.215,476.56
175.998,783.61
176.772,773.29
177.535,763.67
178.283,747.94
179.026,742.66
179.802,775.72
180.589,787.31
181.375,786.36
182.199,824.01
183.014,815.1
183.812,797.32
184.601,789.24
185.382,780.81
186.165,783.1
186.425,260.2
186.914,488.7
187.415,500.76
187.663,248.13
187.937,274.4
188.412,474.49
189.171,758.91
189.976,805.64
190.767,790.38
191.593,826.09
192.397,803.98
193.231,834.67
194.04,808.31
194.878,838.38
195.68,801.57
196.435,755.39
197.198,763.08
197.955,757.29
198.711,755.56
199.459,747.82
200.249,790.08
200.493,244.67
201.024,530.84
201.29,265.9
201.8,509.6
202.628,828.0
203.467,838.94
204.285,818.18
206.672,2387.41
207.472,799.83
208.241,769.34
209.023,781.51
209.775,752.42
210.569,793.55
211.366,796.98
212.222,856.47
213.05,827.54
213.895,844.97
214.693,798.19
215.487,793.45
216.263,775.96
217.051,788.15
217.83,779.56
218.615,785.26
219.387,771.68
220.192,805.04
