timestamp,rr_interval
0.921,921.35
1.859,938.09
2.841,981.32
3.696,855.6
4.628,931.91
5.598,969.55
6.528,930.09
7.428,899.95
8.35,922.28
9.174,824.04
9.984,809.7
10.839,854.67
11.722,883.8
12.64,917.77
13.576,936.33
14.493,916.24
15.452,958.97
16.41,958.59
17.289,878.7
18.151,861.68
19.066,915.09
20.046,980.2
20.967,920.7
21.917,950.19
22.789,872.51
23.715,925.64
24.579,863.9
25.435,855.76
26.327,892.61
27.194,866.42
28.035,841.11
28.843,808.67
29.729,885.59
30.595,866.3
31.507,911.25
32.353,845.95
33.247,894.47
34.092,844.93
35.043,951.39
35.844,800.89
36.705,861.14
37.517,811.45
38.278,761.21
39.09,811.98
39.945,855.05
40.725,780.18
41.502,776.99
42.349,846.67
43.274,925.49
44.149,874.63
45.067,918.49
45.958,890.1
46.839,880.99
47.72,881.02
48.609,889.63
49.475,866.09
50.388,912.66
51.318,930.29
52.188,869.82
53.106,918.27
54.041,934.74
55.036,994.94
56.036,1000.43
56.987,950.11
57.856,869.32
58.763,906.86
59.646,882.99
60.553,906.93
61.453,900.42
62.327,873.6
63.247,920.75
64.143,895.81
65.036,892.46
65.922,886.25
66.781,859.54
67.661,879.26
68.561,900.01
69.412,851.35
70.32,907.52
71.192,872.33
72.117,925.03
73.015,898.01
73.886,871.41
74.709,822.48
75.524,815.6
76.363,838.41
77.227,863.66
78.077,850.05
78.906,829.02
79.797,891.58
80.688,890.75
81.556,867.65
82.491,935.02
83.353,862.26
84.317,963.67
85.222,905.63
86.054,831.65
86.843,789.41
87.644,800.3
88.486,842.5
89.369,882.99
90.273,904.24
91.187,913.36
92.186,999.29
93.168,982.21
94.145,976.51
95.127,982.22
96.031,903.65
96.944,913.48
97.821,876.64
98.674,853.42
99.554,880.42
100.378,823.26
101.294,916.32
102.179,885.28
103.046,866.65
103.939,893.42
104.802,862.49
105.667,865.12
106.548,881.02
107.319,770.74
108.193,873.87
108.987,794.73
109.789,801.2
110.651,862.76
111.414,763.08
112.168,753.4
113.015,847.48
113.901,886.19
114.748,846.6
115.568,819.73
116.39,821.99
117.153,762.96
117.983,830.6
118.791,807.37
119.595,804.38
120.418,823.25
121.184,765.5
121.951,767.19
122.77,818.8
123.646,875.72
124.44,794.4
125.295,854.59
126.169,874.15
127.03,861.65
127.865,834.38
128.688,822.99
129.481,792.91
130.251,770.18
131.107,856.38
131.935,827.37
132.786,850.93
133.678,892.34
134.535,857.08
135.372,836.6
136.2,828.92
137.085,884.67
137.902,816.68
138.713,811.52
139.472,758.76
140.309,837.04
141.096,786.69
141.872,775.76
142.715,843.75
143.535,819.86
144.319,784.1
145.105,786.1
145.896,790.13
146.701,805.75
147.505,803.41
148.331,826.7
149.126,794.97
149.916,789.22
150.741,825.19
151.574,833.25
152.407,832.65
153.269,862.63
154.151,881.77
155.066,914.7
155.838,771.97
156.634,796.02
157.391,757.67
158.226,834.8
158.963,736.64
159.75,787.11
160.578,828.26
161.419,840.32
162.309,890.65
163.129,819.38
164.027,898.4
164.863,836.49
165.712,848.34
166.554,841.72
167.396,842.9
168.246,849.93
169.032,785.87
169.817,784.89
170.591,774.31
171.389,797.19
172.17,781.69
172.969,798.23
173.791,822.46
174.63,838.76
175.441,811.67
176.314,872.3
177.13,816.05
177.999,869.19
181.578,3578.76
182.449,871.52
183.426,976.62
184.345,919.48
185.254,908.37
186.086,832.36
186.946,859.6
187.763,817.17
188.607,843.76
189.462,855.66
190.37,907.73
191.304,933.96
192.25,945.58
193.17,920.1
194.055,885.37
194.969,914.22
195.796,826.67
196.686,889.96
197.526,839.74
198.373,847.4
199.266,893.46
200.143,876.17
201.015,872.62
201.928,912.92
202.878,949.73
203.679,801.05
204.563,883.59
205.535,972.71
206.378,842.91
207.221,843.19
208.155,933.37
209.048,893.03
209.954,906.56
210.894,939.67
211.774,880.23
212.654,879.45
213.515,861.8
214.397,881.77
215.301,903.88
216.232,930.75
217.137,904.81
218.126,989.61
218.996,870.13
219.837,840.69
220.742,904.84
221.648,905.7
222.531,882.96
223.482,950.98
224.424,942.57
225.243,818.86
226.171,928.08
227.1,928.94
227.984,884.05
228.804,820.36
229.65,845.4
230.571,921.25
231.522,950.51
232.468,946.3
233.389,921.33
234.313,924.15
235.26,946.51
236.062,802.46
236.953,890.9
237.833,879.47
238.66,827.39
239.558,897.53
240.465,907.4
241.327,862.29
242.3,972.63
243.245,944.56
244.091,846.3
245.022,931.43
245.988,965.54
246.932,943.8
247.912,980.39
248.76,847.85
249.602,842.24
250.474,871.66
251.361,887.32
252.273,911.64
253.174,900.96
254.043,869.57
254.914,870.9
255.82,906.24
256.765,944.42
257.635,870.28
258.53,894.62
259.444,914.5
260.314,869.99
261.228,913.63
262.114,886.39
262.939,825.06
263.825,885.52
264.705,880.16
268.031,3326.17
268.88,849.36
269.734,853.3
270.498,764.03
271.32,821.93
272.133,812.81
272.947,814.74
273.851,903.98
274.788,937.2
275.75,961.42
276.681,930.95
277.597,915.83
278.479,882.59
281.862,3382.5
282.776,914.07
283.713,937.34
284.603,889.38
285.444,841.38
286.274,829.72
287.145,871.02
287.976,831.16
288.784,807.93
289.672,888.51
290.483,810.95
291.363,880.08
292.249,886.07
293.185,935.25
294.139,954.33
295.049,910.23
295.952,902.37
296.86,908.52
297.742,881.53
298.561,819.84
299.368,806.96
300.231,862.99
