timestamp,rr_interval
0.827,826.66
1.691,864.13
2.564,873.7
3.439,874.24
4.336,897.2
5.189,853.03
6.02,831.34
6.836,815.78
7.644,807.95
8.41,765.49
9.203,793.37
10.02,817.3
10.817,796.6
11.658,841.5
12.509,850.66
13.386,877.08
14.23,843.48
15.08,850.89
15.898,817.58
16.713,815.44
17.518,804.11
18.349,831.43
19.173,823.74
20.021,848.15
20.872,851.61
21.731,858.32
22.58,848.87
23.45,870.39
24.326,875.94
25.188,861.65
26.02,831.87
26.855,835.17
27.675,820.31
28.505,830.37
29.311,805.15
30.138,827.01
30.949,811.88
31.801,851.32
32.678,876.9
33.552,874.77
34.43,877.32
35.329,898.84
36.186,857.84
36.996,809.97
37.826,829.87
38.677,851.02
39.5,823.14
40.338,837.37
41.166,828.17
42.061,895.05
42.956,894.74
43.813,857.56
44.678,864.53
45.575,897.22
46.446,870.5
47.276,830.5
48.101,824.62
48.912,811.36
49.792,879.65
50.66,868.41
51.534,873.89
52.42,886.16
53.326,906.1
54.247,920.32
55.134,887.21
55.982,848.17
56.823,841.34
57.648,825.05
58.479,830.53
59.311,831.81
60.145,834.37
60.964,818.88
61.816,851.89
62.692,876.58
63.591,898.15
64.457,866.64
65.269,811.82
66.084,814.64
66.922,838.07
67.748,826.54
68.584,835.92
69.414,829.9
70.246,831.71
71.138,892.31
71.997,858.51
72.848,851.84
73.74,891.68
74.631,890.57
75.455,824.48
76.279,823.35
77.113,834.31
77.933,820.21
78.769,835.49
79.576,807.14
80.405,828.82
81.26,855.49
82.134,873.62
83.007,873.09
83.881,874.38
84.741,860.0
85.568,826.71
86.417,849.08
87.225,808.12
88.033,807.69
88.858,825.14
89.693,835.19
90.532,839.45
91.403,870.92
92.259,855.82
93.162,902.5
94.021,859.67
94.886,864.74
95.738,852.0
96.515,776.76
97.353,837.98
98.14,787.59
98.943,802.85
99.693,750.08
100.477,783.58
101.323,845.65
102.136,813.69
102.99,853.72
103.865,874.78
104.727,861.8
105.533,806.33
106.329,796.16
107.143,814.27
107.958,814.7
108.781,822.69
109.547,766.61
110.37,822.85
111.216,845.42
112.052,836.19
112.872,820.63
113.728,855.45
114.612,884.1
115.445,833.07
116.275,829.82
117.074,798.73
117.848,774.63
118.612,763.64
119.377,764.98
120.166,789.3
120.969,803.03
121.795,825.95
122.635,840.07
123.514,878.33
124.381,867.52
125.245,864.31
126.05,804.62
126.854,803.79
127.626,772.57
128.384,758.08
129.164,779.43
129.97,806.16
130.777,806.78
131.572,794.88
132.404,832.68
133.218,814.05
134.003,784.93
134.799,795.48
135.565,766.2
136.353,788.32
137.139,786.08
137.931,791.15
138.717,786.06
139.512,795.55
142.725,3213.22
143.577,851.6
144.411,834.49
145.243,831.79
145.571,327.85
146.051,479.81
146.528,477.07
146.859,330.58
147.36,501.39
147.666,306.27
148.161,495.12
148.474,312.53
149.252,778.22
150.051,799.07
150.831,779.51
151.662,831.08
152.461,798.91
153.277,816.57
154.126,848.36
154.938,812.29
155.732,794.55
156.503,770.83
157.29,787.14
160.412,3121.33
161.221,809.36
162.087,866.05
162.93,842.96
163.785,854.47
164.631,846.28
165.429,798.32
166.237,807.71
167.028,791.18
167.802,773.88
168.587,784.56
169.354,767.41
170.173,818.81
170.692,518.82
171.0,308.72
171.539,538.85
171.828,288.69
172.269,441.13
172.655,386.41
173.179,523.4
173.483,304.14
174.328,845.34
175.177,848.7
175.987,810.48
176.756,768.57
177.541,785.34
178.321,779.73
179.091,770.2
179.9,809.03
180.716,815.38
181.543,826.95
182.417,874.55
183.268,851.05
184.144,875.54
184.923,778.74
185.688,765.71
186.485,796.35
187.266,781.22
188.047,781.16
188.815,768.25
189.575,759.89
190.362,786.43
191.152,790.23
191.976,824.29
192.787,810.54
193.636,849.41
194.453,817.41
195.256,802.4
196.031,775.64
196.794,762.16
197.565,771.07
198.322,757.3
199.101,779.21
199.895,793.82
200.717,821.61
201.546,829.5
202.374,827.91
203.201,827.35
204.052,850.67
204.881,829.27
205.67,788.26
206.475,805.3
207.217,742.55
207.988,770.84
208.773,784.97
209.552,778.79
210.361,809.26
211.186,824.62
212.01,824.47
212.846,835.93
213.703,856.96
214.558,854.6
215.4,842.08
216.226,826.06
217.028,802.0
217.804,776.28
218.579,774.38
219.387,808.42
220.15,762.85
220.97,820.02
221.761,790.77
222.564,803.74
223.398,833.28
224.243,845.05
225.092,849.26
225.916,823.61
226.711,795.27
227.496,785.1
228.276,779.76
229.077,800.72
229.88,803.58
230.696,815.85
231.536,839.92
232.45,913.88
233.343,893.33
234.243,899.71
235.115,872.47
235.978,862.33
236.772,794.75
237.53,757.37
238.315,785.37
239.106,790.52
239.909,803.38
240.73,820.83
241.572,842.14
242.415,843.32
243.263,847.69
244.121,857.71
244.978,857.08
245.833,854.97
246.62,787.57
247.426,806.17
248.2,773.4
248.998,798.18
249.789,790.72
250.615,826.38
251.469,854.21
252.325,856.07
253.188,862.36
254.084,896.58
254.961,876.24
255.807,845.96
256.624,816.99
259.86,3236.87
260.679,819.07
262.44,1760.09
263.348,908.65
264.248,899.98
265.114,866.18
265.999,884.33
266.844,845.64
267.635,791.08
268.469,833.51
269.284,814.85
270.084,800.12
270.927,843.19
271.773,845.42
272.663,890.85
273.552,888.23
274.441,889.21
275.285,844.6
276.077,791.18
276.904,827.67
277.743,839.14
278.562,818.73
279.377,815.05
280.198,820.87
281.006,808.4
281.868,861.36
282.723,855.66
283.583,859.93
284.411,827.41
285.246,835.45
286.051,805.16
286.865,813.87
287.672,806.85
288.482,810.17
289.28,798.13
290.142,861.53
290.975,833.52
291.84,864.73
292.734,893.78
293.587,852.97
294.433,845.8
295.282,849.07
296.118,836.44
296.917,798.68
297.704,787.34
298.495,790.91
299.298,802.9
300.101,802.41
