timestamp,rr_interval
0.722,721.61
1.457,735.79
2.152,695.04
2.9,748.05
3.646,745.56
4.424,778.07
5.195,771.37
5.963,767.05
6.71,747.12
7.438,728.4
8.149,710.51
8.839,690.32
9.591,752.51
10.34,748.42
11.042,702.09
11.761,718.87
12.537,776.38
13.282,744.7
14.044,762.09
14.75,706.04
15.509,758.77
16.213,704.33
16.91,697.4
17.599,688.72
20.464,708.41
21.211,746.89
21.991,780.0
22.74,749.09
23.472,731.55
24.299,536.39
24.642,457.23
25.069,426.09
25.502,433.5
25.838,335.79
26.222,383.79
26.607,385.5
27.02,412.97
27.376,356.31
28.045,669.0
28.71,664.75
29.417,707.07
30.121,704.3
30.825,703.99
31.539,713.86
32.294,754.25
33.021,727.06
33.735,714.27
34.479,744.03
35.206,727.34
35.96,754.18
36.706,745.88
37.376,669.76
38.095,718.79
38.836,740.91
39.517,681.47
40.23,713.06
40.921,691.1
41.659,737.96
42.409,749.86
43.145,736.22
43.877,731.29
44.626,749.2
45.344,718.16
46.06,715.93
46.736,676.17
47.409,673.07
48.09,680.67
48.791,701.2
49.47,678.75
50.155,685.1
50.87,714.77
51.578,708.15
52.282,703.74
53.033,750.85
53.796,763.23
54.578,782.06
55.317,738.88
56.022,705.33
56.75,728.05
57.412,661.53
58.138,726.49
58.835,696.97
59.527,691.93
60.286,759.24
61.04,753.37
61.82,780.61
62.568,747.33
63.32,752.02
64.107,787.91
64.937,829.49
65.666,728.6
66.434,768.77
66.695,784.84
67.214,790.65
67.711,773.75
67.994,758.81
68.285,742.25
68.773,718.06
69.484,710.86
70.225,740.91
70.959,733.92
71.686,726.57
72.423,737.48
73.179,756.24
73.955,775.33
74.729,774.55
75.446,716.65
76.198,752.56
76.924,725.27
77.652,728.3
78.363,711.11
79.085,721.54
79.785,700.37
80.492,707.11
81.175,682.63
81.864,689.22
82.576,712.22
83.017,714.97
83.313,711.93
83.721,704.85
84.05,699.4
84.749,699.71
85.454,705.2
86.126,671.92
86.851,724.19
87.568,717.49
88.314,746.02
89.021,707.44
89.757,736.01
90.438,681.01
91.161,722.49
91.892,731.11
92.637,744.78
93.363,725.66
94.105,742.54
94.857,752.27
95.602,744.81
96.322,719.68
97.044,722.25
97.738,694.01
98.443,704.8
99.096,653.17
99.788,691.58
100.507,719.59
101.255,748.09
101.99,734.33
102.74,750.39
103.469,729.4
104.202,732.27
104.957,754.93
105.712,755.14
106.429,716.96
107.124,695.49
107.843,718.67
108.594,751.05
109.354,759.74
110.089,735.7
110.873,783.2
111.662,788.98
112.408,746.69
113.214,805.96
113.977,762.9
114.698,720.49
116.058,701.01
116.749,691.33
117.419,670.32
118.091,671.36
118.809,718.85
119.509,699.23
120.262,752.95
121.043,780.97
121.753,710.5
122.484,731.26
123.203,718.87
123.942,738.62
124.697,754.8
125.401,704.6
126.165,763.23
126.875,710.91
127.612,736.57
128.328,716.06
129.053,725.31
129.715,661.75
130.394,678.79
131.068,674.53
131.819,750.8
132.544,724.97
133.29,745.64
134.03,740.64
134.318,712.73
134.771,645.86
135.228,568.31
135.511,524.41
135.842,485.09
136.251,465.84
136.76,508.66
136.992,557.06
137.669,676.82
138.299,630.34
138.956,657.42
139.656,699.8
140.345,688.74
141.083,737.81
141.776,693.76
142.489,712.86
143.211,721.46
143.936,725.24
144.669,733.22
145.418,748.96
146.102,683.68
146.795,693.61
147.487,691.6
148.214,727.27
148.909,695.22
149.607,697.54
150.332,725.42
151.057,724.76
151.808,751.26
152.512,703.68
153.269,757.2
154.031,761.45
154.754,722.9
155.51,756.13
156.247,736.71
156.957,710.3
157.7,742.86
158.398,698.67
159.098,700.09
159.771,672.34
160.501,730.25
161.208,707.35
161.912,703.61
162.643,730.73
163.417,773.77
164.132,715.33
164.815,683.25
165.488,672.53
166.124,635.94
166.814,690.87
167.479,664.92
168.187,707.97
168.919,731.83
169.621,701.95
170.098,680.73
170.341,672.63
170.806,662.51
171.061,660.09
171.726,664.88
172.413,687.16
173.137,724.2
173.886,749.22
174.622,735.9
175.359,737.12
176.081,721.34
176.795,714.16
177.481,685.88
178.17,689.72
178.848,677.19
179.573,725.8
180.266,692.97
181.0,734.0
181.694,693.79
182.396,702.0
183.119,723.16
183.835,715.43
184.531,696.19
185.291,759.66
186.009,718.93
186.69,681.0
187.387,696.51
188.085,698.22
188.823,737.53
189.488,665.43
190.189,701.05
190.887,698.26
191.61,722.43
192.342,732.53
193.095,752.32
193.854,759.58
194.597,742.27
195.317,720.26
196.045,727.94
196.757,712.16
197.478,721.4
198.199,720.47
198.864,664.84
199.579,715.74
200.341,761.59
201.06,718.93
204.088,752.95
204.829,741.3
205.532,702.38
206.223,691.51
206.93,706.93
207.657,726.86
207.91,730.51
208.342,732.43
208.654,731.64
209.026,729.75
209.239,728.79
209.711,728.71
210.452,740.89
211.228,775.74
212.019,790.74
212.746,727.33
213.488,742.51
214.241,752.33
214.982,741.4
215.732,749.48
216.42,687.9
219.292,596.29
219.972,680.12
220.696,724.02
220.983,633.83
221.438,454.75
221.776,396.25
222.179,402.88
222.486,429.51
222.921,434.73
223.317,395.88
223.662,456.42
224.386,723.58
225.178,791.92
225.897,719.31
226.614,717.02
227.38,765.44
228.09,710.3
228.788,698.2
229.537,748.79
230.261,724.24
230.965,703.71
231.725,760.54
232.496,770.34
233.242,746.42
234.025,782.98
234.735,709.51
235.464,728.9
236.168,704.84
236.844,675.98
237.566,721.54
238.296,729.85
239.012,716.7
239.662,649.66
240.343,680.5
241.035,692.38
241.718,683.53
242.391,672.42
243.093,701.9
243.797,703.76
244.528,731.52
245.251,723.13
245.924,673.25
246.608,683.61
247.318,709.83
248.039,721.15
248.762,722.57
249.407,645.55
250.073,665.77
250.75,677.36
251.493,742.94
252.211,718.09
252.594,704.37
252.943,701.43
253.36,705.99
253.674,712.6
254.401,726.67
255.124,723.88
255.836,711.31
256.548,712.59
257.247,698.95
257.947,699.77
258.691,744.31
259.391,700.02
260.139,747.81
260.858,718.44
261.585,727.47
262.367,781.94
263.098,731.28
263.855,756.88
264.591,735.52
265.323,731.99
266.081,757.85
266.822,741.03
267.568,745.95
268.287,719.89
269.076,788.38
269.826,750.34
270.554,727.7
272.937,790.1
273.747,809.87
274.553,806.56
275.34,786.52
276.139,799.35
276.926,786.79
277.679,753.14
278.396,717.5
279.134,737.52
279.871,737.08
280.577,706.01
