timestamp,rr_interval
0.861,860.8
1.738,877.34
2.655,917.35
3.494,838.04
4.376,882.07
5.244,868.4
6.116,872.31
7.047,930.87
7.875,827.93
8.77,894.89
9.643,873.23
10.487,843.62
11.334,846.86
12.221,887.43
13.151,929.59
13.991,840.2
14.857,866.21
15.783,925.62
16.659,876.3
17.484,825.29
18.32,835.64
19.161,841.46
20.028,866.18
20.854,825.88
21.667,813.07
22.519,852.42
23.354,835.14
24.264,909.94
25.144,880.17
26.011,867.15
26.846,834.28
27.557,711.42
28.325,767.85
29.177,851.61
30.05,873.65
30.873,822.72
31.698,824.76
32.57,871.99
33.442,872.25
34.342,900.35
35.074,731.35
35.853,779.21
36.677,823.72
37.52,842.93
38.304,784.66
39.107,802.73
39.908,800.77
40.799,891.63
41.627,828.1
42.483,855.18
43.27,787.34
44.059,789.14
44.782,722.69
45.494,712.45
46.291,796.8
47.113,821.79
47.959,846.4
48.735,776.29
49.525,789.34
50.278,753.22
51.058,779.6
51.872,814.29
52.716,844.06
53.571,855.18
54.387,816.14
55.155,767.81
56.011,856.13
56.825,813.56
57.663,838.21
58.486,822.54
59.304,818.1
60.163,859.55
61.014,850.6
61.827,813.63
62.701,873.35
65.155,862.87
65.979,823.71
66.793,814.35
67.649,855.54
68.447,798.03
69.222,775.61
71.724,848.29
72.582,857.6
73.439,857.61
74.349,909.48
75.227,878.18
76.049,822.0
76.858,808.88
77.684,826.09
78.534,850.04
79.384,849.6
80.237,853.39
81.127,890.42
82.018,890.94
82.865,846.26
83.681,816.06
84.53,848.88
85.421,891.58
86.229,807.76
87.015,786.5
87.842,826.3
88.668,826.35
89.417,748.58
90.208,791.06
90.977,768.89
91.75,772.99
92.512,762.0
93.305,793.55
94.047,742.06
94.848,801.14
95.703,854.28
96.528,825.53
97.257,728.72
98.103,846.53
98.945,841.21
99.8,855.06
100.756,956.44
101.649,893.4
102.534,884.97
103.395,860.96
104.265,870.02
105.079,813.82
105.825,745.65
106.58,754.83
107.368,788.4
108.133,765.31
108.95,816.77
109.733,782.35
110.558,825.57
111.34,782.12
112.18,840.21
112.969,788.96
113.78,810.63
114.608,827.7
115.421,813.07
116.272,851.61
117.011,738.55
117.782,771.44
118.589,806.33
119.308,719.63
120.099,790.34
120.899,800.28
121.749,849.6
122.553,804.9
123.386,832.37
124.252,865.92
125.096,844.19
125.875,779.36
126.654,778.86
127.476,821.89
128.316,840.01
129.181,864.58
129.931,750.4
130.711,779.71
131.486,775.41
132.285,798.32
133.164,879.79
134.088,923.88
134.983,894.45
135.834,851.01
136.626,792.54
137.442,816.3
138.26,817.41
139.121,861.6
139.942,820.37
140.77,827.96
141.63,860.53
142.505,874.56
143.319,814.53
144.153,833.83
145.046,893.17
145.91,863.95
146.771,860.69
147.59,819.12
148.441,850.89
149.267,825.81
150.103,835.66
150.891,787.96
151.71,819.02
152.504,794.54
153.254,749.72
154.093,839.14
154.864,771.51
155.589,724.2
156.305,716.49
157.096,790.53
157.827,731.44
158.606,778.61
159.356,750.5
160.056,700.13
160.85,794.04
161.171,640.63
161.59,419.54
161.903,394.03
162.33,427.34
162.709,378.58
163.07,361.29
163.399,351.52
163.81,410.67
164.587,776.79
165.357,770.23
166.096,739.41
166.822,725.23
167.623,801.95
168.35,726.34
169.145,795.05
169.959,814.25
170.723,763.43
171.485,762.53
172.201,715.65
172.912,711.15
173.657,745.49
174.4,742.36
175.172,771.99
175.957,784.98
176.696,739.58
177.468,772.15
178.217,748.25
179.068,850.99
179.907,839.48
180.686,779.26
181.518,831.14
182.423,905.46
183.202,779.08
183.991,789.38
184.835,843.57
185.628,793.02
186.405,777.16
187.209,804.21
187.993,783.4
188.839,846.18
189.645,806.37
190.469,823.71
191.328,859.27
192.061,733.0
192.792,730.46
193.606,814.15
194.346,739.56
195.158,812.18
195.926,767.84
196.684,758.79
197.512,827.78
198.338,825.83
199.099,761.32
199.901,801.33
200.655,753.99
201.528,873.09
202.358,830.48
203.169,810.58
203.937,768.23
204.695,757.96
205.406,710.86
206.22,814.22
207.031,810.67
207.812,781.42
208.639,826.93
209.492,852.91
210.308,815.91
211.125,817.1
211.936,810.96
212.796,859.8
213.552,756.64
214.396,843.28
215.149,753.46
215.919,770.13
216.709,790.09
217.441,731.22
218.228,787.72
218.985,757.18
219.757,771.11
220.579,822.92
221.359,779.84
222.123,764.12
222.916,792.82
223.742,825.52
224.509,766.88
225.297,788.62
226.128,830.45
226.886,758.47
227.676,789.93
228.416,739.92
229.243,827.07
230.066,822.7
230.956,890.44
231.806,849.83
232.594,787.97
233.445,850.77
234.291,846.06
235.085,793.7
235.918,833.49
236.73,811.48
237.562,832.03
238.343,781.78
239.149,806.08
239.929,779.45
240.71,781.05
241.487,777.01
242.292,804.96
243.093,800.72
243.919,826.41
244.696,777.11
245.495,798.84
246.303,807.88
247.103,800.09
247.926,822.9
248.786,860.32
249.539,752.77
250.401,861.95
251.266,865.14
252.123,856.86
252.973,849.72
253.796,823.82
254.581,784.32
255.357,776.46
256.152,795.15
256.904,752.13
257.722,817.6
258.469,746.55
259.202,733.77
259.931,728.3
260.691,760.61
261.465,773.74
262.279,814.2
263.095,815.78
263.928,832.97
264.721,792.88
265.444,723.11
266.233,789.36
267.021,787.29
267.814,793.38
268.587,772.91
269.358,770.92
270.08,722.36
270.849,768.67
271.63,781.52
272.5,869.57
273.357,857.5
274.163,805.61
274.957,793.49
275.721,764.42
276.478,756.59
277.263,785.84
278.006,742.53
278.767,760.68
279.484,717.85
280.194,709.42
280.972,778.13
281.704,732.32
282.482,778.04
283.334,851.98
284.1,765.33
285.73,748.11
286.538,808.33
287.391,852.86
288.238,846.77
289.11,871.54
289.989,879.4
290.827,837.53
291.671,844.05
292.456,785.74
293.331,874.12
294.224,893.27
295.116,892.15
295.929,813.52
296.827,897.42
297.598,770.93
298.449,851.18
299.232,783.09
300.069,836.57
