timestamp,rr_interval
0.673,-12.68
0.923,-0.16
1.173,12.35
1.423,22.66
1.673,21.77
1.923,20.88
2.173,16.68
2.423,6.05
2.673,-4.58
2.923,4.47
3.173,24.99
3.423,45.5
3.673,48.54
3.923,43.5
4.173,38.45
4.423,23.44
4.673,5.81
4.923,-10.2
5.173,-9.32
5.423,-8.43
5.673,-8.05
5.923,-8.46
6.173,-8.88
6.423,-6.54
6.673,-2.85
6.923,0.85
7.173,-2.89
7.423,-7.21
7.673,-10.83
7.923,-12.1
8.173,-13.37
8.423,-15.09
8.673,-17.19
8.923,-19.29
9.173,-9.09
9.423,2.78
9.673,13.33
9.923,8.66
10.173,4.0
10.423,4.2
10.673,14.05
10.923,23.9
11.173,31.13
11.423,35.52
11.673,39.91
11.923,46.67
12.173,55.21
12.423,63.75
12.673,52.98
12.923,27.04
13.173,1.1
13.423,-16.14
13.673,-31.62
13.923,-38.94
14.173,-23.49
14.423,-8.05
14.673,-7.34
14.923,-19.8
15.173,-32.27
15.423,-25.68
15.673,-17.44
15.923,-12.7
16.173,-20.11
16.423,-27.53
16.673,-30.88
16.923,-31.58
17.173,-32.28
17.423,-43.32
17.673,-54.45
17.923,-52.48
18.173,-37.0
18.423,-21.52
18.673,-27.89
18.923,-38.8
19.173,-44.32
19.423,-35.72
19.673,-27.12
19.923,-9.71
20.173,12.84
20.423,35.38
20.673,26.08
20.923,4.88
21.173,-15.24
21.423,-13.87
21.673,-12.51
21.923,-7.59
22.173,3.76
22.423,15.11
22.673,21.3
22.923,23.03
23.173,24.76
23.423,20.7
23.673,14.12
23.923,7.54
24.173,15.17
24.423,23.9
24.673,30.72
24.923,7.48
25.173,-15.76
25.423,-30.8
25.673,-35.23
25.923,-39.66
26.173,-38.28
26.423,-35.95
26.673,-33.82
26.923,-32.24
27.173,-30.66
27.423,-30.97
27.673,-32.33
27.923,-33.03
28.173,-16.1
28.423,0.82
28.673,9.81
28.923,-5.79
29.173,-21.39
29.423,-24.75
29.673,-20.47
29.923,-16.19
30.173,-9.75
30.423,-3.18
30.673,2.7
30.923,5.71
31.173,8.73
31.423,10.15
31.673,9.35
31.923,8.55
32.173,6.58
32.423,3.97
32.673,1.36
32.923,4.01
33.173,7.22
33.423,11.43
33.673,22.69
33.923,33.96
34.173,40.53
34.423,30.11
34.673,19.69
34.923,12.79
35.173,10.68
35.423,8.57
35.673,2.82
35.923,-4.84
36.173,-12.49
36.423,-5.32
36.673,2.34
36.923,7.7
37.173,3.89
37.423,0.07
37.673,-2.88
37.923,-4.88
38.173,-6.88
38.423,-9.98
38.673,-13.41
38.923,-16.21
39.173,-12.71
39.423,-9.21
39.673,-6.04
39.923,-3.41
40.173,-0.78
40.423,13.07
40.673,33.0
40.923,52.94
41.173,64.85
41.423,72.84
41.673,80.83
41.923,79.08
42.173,70.94
42.423,62.8
42.673,60.2
42.923,60.89
43.173,61.58
43.423,57.24
43.673,50.12
43.923,43.0
44.173,36.68
44.423,30.65
44.673,24.62
44.923,12.74
45.173,0.3
45.423,-11.93
45.673,-23.45
45.923,-34.97
46.173,-42.23
46.423,-47.06
46.673,-48.91
46.923,-26.23
47.173,-3.54
47.423,4.57
47.673,-17.73
47.923,-40.03
48.173,-38.36
48.423,-29.45
48.673,-22.48
48.923,-29.72
49.173,-36.96
49.423,-37.58
49.673,-32.74
49.923,-27.9
50.173,-18.34
50.423,-8.4
50.673,1.55
50.923,11.5
51.173,21.44
51.423,31.39
51.673,41.34
51.923,51.28
52.173,56.1
52.423,54.69
52.673,53.29
52.923,49.26
53.173,42.66
53.423,36.06
53.673,36.54
53.923,41.08
54.173,45.61
54.423,40.79
54.673,32.26
54.923,23.73
55.173,17.07
55.423,10.64
55.673,7.59
55.923,26.07
56.173,44.55
56.423,59.73
56.673,58.08
56.923,56.43
57.173,52.04
57.423,37.24
57.673,22.44
57.923,14.8
58.173,17.05
58.423,19.3
58.673,21.55
58.923,23.79
59.173,26.04
59.423,28.29
59.673,30.54
59.923,32.79
60.173,35.04
60.423,37.29
60.673,44.59
60.923,55.37
