timestamp,rr_interval
0.786,18.81
1.036,29.37
1.286,39.93
1.536,50.48
1.786,42.7
2.036,27.64
2.286,12.57
2.536,-0.95
2.786,-13.54
3.036,-26.13
3.286,-43.43
3.536,-63.03
3.786,-82.64
4.036,-70.19
4.286,-55.69
4.536,-41.06
4.786,-22.9
5.036,-4.75
5.286,13.41
5.536,13.21
5.786,11.06
6.036,8.9
6.286,2.78
6.536,-4.34
6.786,-11.46
7.036,-11.35
7.286,-9.24
7.536,-7.14
7.786,-7.85
8.036,-9.58
8.286,-11.31
8.536,3.62
8.786,25.28
9.036,46.95
9.286,53.82
9.536,38.86
9.786,23.91
10.036,8.85
10.286,-6.46
10.536,-21.77
10.786,-35.48
11.036,-46.05
11.286,-56.62
11.536,-46.78
11.786,-17.48
12.036,11.81
12.286,31.45
12.536,29.8
12.786,28.16
13.036,26.32
13.286,23.27
13.536,20.21
13.786,17.16
14.036,12.99
14.286,8.81
14.536,4.63
14.786,7.64
15.036,11.46
15.286,15.28
15.536,3.4
15.786,-13.44
16.036,-30.27
16.286,-17.47
16.536,1.83
16.786,21.13
17.036,24.68
17.286,19.2
17.536,13.72
17.786,3.14
18.036,-12.24
18.286,-27.61
18.536,-28.64
18.786,-19.27
19.036,-9.9
19.286,0.79
19.536,12.69
19.786,24.59
20.036,39.56
20.286,61.04
20.536,82.52
20.786,104.0
21.036,72.29
21.286,28.27
21.536,-15.76
21.786,-26.39
22.036,-30.27
22.286,-34.15
22.536,-28.41
22.786,-21.5
23.036,-14.59
23.286,-0.05
23.536,15.62
23.786,31.29
24.036,37.06
24.286,37.45
24.536,37.84
24.786,31.16
25.036,14.7
25.286,-1.76
25.536,-8.3
25.786,0.55
26.036,9.4
26.286,14.32
26.536,7.59
26.786,0.86
27.036,-3.83
27.286,0.07
27.536,3.96
27.786,7.24
28.036,3.76
28.286,0.28
28.536,-3.08
28.786,-0.68
29.036,1.72
29.286,4.12
29.536,-2.47
29.786,-9.81
30.036,-17.14
30.286,1.0
30.536,21.48
30.786,41.95
31.036,52.76
31.286,58.22
31.536,63.68
31.786,68.84
32.036,73.28
32.286,77.71
32.536,82.15
32.786,75.94
33.036,68.34
33.286,60.73
33.536,42.6
33.786,16.72
34.036,-9.16
34.286,-25.26
34.536,-34.17
34.786,-43.07
35.036,-29.11
35.286,-4.39
35.536,20.33
35.786,34.9
36.036,37.94
36.286,40.97
36.536,42.48
36.786,38.34
37.036,34.19
37.286,29.91
37.536,14.69
37.786,-0.54
38.036,-15.76
38.286,-5.14
38.536,5.59
38.786,16.31
39.036,3.64
39.286,-13.49
39.536,-30.62
39.786,-31.21
40.036,-29.79
40.286,-28.38
40.536,-26.62
40.786,-24.83
41.036,-23.04
41.286,-8.65
41.536,6.67
41.786,21.98
42.036,24.05
42.286,21.66
