timestamp,rr_interval
0.856,855.65
1.704,848.39
2.614,910.45
3.412,797.09
4.242,830.16
5.078,836.61
5.983,904.23
6.828,845.42
7.582,754.41
8.386,803.14
9.226,840.73
10.039,812.98
10.81,770.72
11.666,855.56
12.539,873.84
13.527,987.4
14.373,846.33
15.237,864.36
16.109,871.21
16.927,818.04
17.714,787.28
18.503,788.83
19.271,768.36
20.092,821.31
20.852,759.96
21.632,779.47
22.47,837.73
23.359,889.14
24.203,844.45
24.967,763.91
25.823,855.96
26.611,787.81
27.364,753.55
28.116,751.8
28.867,750.59
29.661,794.18
30.51,848.5
31.286,776.76
31.731,444.48
32.089,358.09
32.535,445.71
32.891,356.86
33.355,463.19
33.694,339.38
34.083,388.99
34.497,413.58
35.361,864.0
36.204,842.93
36.988,784.87
37.779,790.26
38.548,769.02
39.331,783.58
40.231,900.08
41.027,796.0
41.96,932.77
42.828,868.37
43.727,898.94
44.591,863.9
45.464,872.53
46.272,808.0
47.051,779.3
47.873,821.43
48.608,735.74
49.433,824.81
50.256,823.32
51.08,823.35
51.903,822.96
52.783,880.2
53.679,895.78
54.532,853.03
55.383,851.62
56.246,863.13
57.086,839.73
57.838,751.59
58.618,779.98
59.43,812.35
60.288,857.52
61.094,806.63
61.916,821.96
62.721,804.97
63.584,862.53
64.403,818.8
65.24,837.29
66.028,788.38
66.816,788.13
67.637,820.5
68.456,819.07
69.326,870.05
70.153,827.25
70.993,839.34
71.871,878.7
72.795,924.1
73.642,846.95
74.503,860.45
75.347,843.87
76.185,838.51
77.032,847.33
77.885,852.89
78.727,841.52
79.569,842.38
80.348,778.87
81.104,756.18
81.942,837.67
82.782,840.1
83.649,866.88
84.469,820.42
85.299,829.28
86.113,814.56
86.902,788.49
87.678,776.74
88.474,795.09
89.326,852.62
90.121,794.58
90.898,777.61
91.758,859.81
92.579,821.07
93.406,826.9
94.252,845.65
95.029,777.12
95.79,761.1
96.624,834.28
97.456,831.67
98.336,879.81
99.207,870.85
100.108,901.26
100.942,834.02
101.71,768.47
102.539,828.47
103.382,842.88
104.237,854.86
105.087,850.87
105.919,831.46
106.709,790.44
107.525,816.09
108.339,813.3
109.166,827.59
110.073,906.73
110.938,864.95
111.814,876.46
112.656,841.51
113.514,857.78
114.449,934.76
115.29,841.09
116.07,780.08
116.895,825.27
117.719,823.55
118.6,881.8
119.487,886.68
120.347,860.45
121.133,785.45
121.964,831.0
122.82,856.15
123.635,815.01
124.478,843.03
125.342,863.76
126.1,758.19
126.931,831.39
127.807,875.72
128.642,834.79
129.553,911.13
130.449,896.38
131.323,873.49
131.822,498.59
132.125,303.6
132.536,411.38
132.927,390.82
133.774,846.77
134.627,852.53
135.421,794.34
