timestamp,rr_interval
0.597,597.36
1.188,590.3
1.817,629.36
2.455,637.94
3.084,628.69
3.704,620.82
4.362,657.04
4.954,592.78
5.542,588.12
6.166,623.15
6.769,603.34
7.399,630.47
7.992,592.63
8.542,549.71
9.143,601.15
9.778,634.89
10.38,602.08
10.979,599.57
11.608,628.89
12.285,676.66
12.966,680.85
13.601,635.38
14.243,641.44
14.852,609.3
15.474,622.28
16.072,597.68
16.66,588.26
17.273,613.21
17.869,595.72
18.414,545.0
18.954,540.35
19.54,585.17
20.163,623.57
20.777,613.39
22.661,1884.32
23.275,613.79
23.887,611.91
24.489,602.86
25.107,618.0
25.674,566.89
26.255,580.37
26.851,596.46
27.412,560.65
28.025,613.44
28.428,403.21
28.668,239.69
29.076,407.88
29.311,235.02
29.909,597.47
30.585,676.97
31.259,673.68
31.952,692.69
32.667,714.88
33.368,701.1
34.079,710.71
34.708,629.58
35.384,676.18
36.061,676.51
36.686,625.04
37.362,676.3
38.041,678.96
38.686,645.19
39.337,650.66
39.973,636.44
40.629,655.94
41.31,680.18
41.974,664.49
42.619,645.14
43.26,640.79
43.977,717.05
44.676,698.62
45.333,657.14
45.94,607.52
46.518,577.87
47.12,602.31
47.757,636.82
48.384,626.43
48.968,584.05
49.528,560.21
49.833,304.7
50.099,266.51
50.491,391.74
50.67,179.47
51.242,571.34
51.883,640.79
52.535,652.07
53.199,664.7
53.846,646.84
54.47,624.21
55.134,663.3
55.757,623.72
56.409,651.21
57.056,647.41
57.652,596.37
58.254,601.91
58.851,596.46
59.457,606.61
59.654,196.2
60.079,425.43
60.274,195.53
60.701,426.1
61.004,303.39
61.322,318.25
61.982,659.54
62.617,635.26
63.292,674.87
63.963,671.35
65.2,1237.05
65.775,575.02
66.335,559.4
66.922,587.12
67.465,542.97
68.046,581.58
68.613,566.13
69.214,601.97
69.829,614.25
70.488,659.38
71.177,688.41
71.851,674.44
72.603,751.92
73.29,687.35
73.938,648.0
74.559,620.54
75.198,639.61
75.842,643.46
76.475,633.05
77.118,643.14
77.72,602.25
78.32,599.46
78.956,636.62
79.612,655.75
80.262,649.53
80.89,628.59
81.521,630.66
82.217,696.02
82.871,654.26
83.525,653.77
84.185,659.66
84.83,645.46
85.482,651.73
86.123,640.94
86.795,671.81
87.436,641.78
88.016,579.55
88.619,603.24
89.207,588.17
89.831,624.2
90.445,613.86
91.081,635.74
91.725,644.42
92.381,655.16
93.021,640.77
93.681,660.04
94.28,598.73
94.943,662.39
95.6,657.81
96.189,588.64
96.753,563.99
97.366,612.6
97.967,601.44
98.529,561.93
99.156,626.52
99.82,664.52
100.431,611.39
101.071,639.28
101.729,657.88
102.306,577.15
102.927,620.82
103.572,645.69
104.142,569.43
104.7,557.97
105.296,596.19
105.894,598.4
106.478,583.67
107.05,571.97
107.578,528.5
108.098,519.46
108.72,621.75
109.355,635.69
109.97,614.59
110.609,639.23
111.26,651.18
111.899,638.51
112.534,635.32
113.137,603.34
113.747,609.4
114.386,639.21
115.026,639.83
115.652,625.97
116.298,646.46
116.915,616.3
117.501,586.07
118.067,566.4
118.632,565.01
119.193,560.62
119.748,555.51
120.38,632.15
120.956,575.49
121.622,666.27
122.215,592.69
122.842,626.74
123.454,612.65
124.118,663.32
124.712,594.73
125.302,590.07
125.969,667.06
126.546,576.82
127.159,612.93
127.749,590.17
128.293,543.72
128.921,627.8
129.584,663.48
130.195,610.28
130.817,622.35
131.474,656.75
132.087,613.57
132.702,614.87
133.303,600.58
133.915,612.75
134.525,609.13
135.106,581.28
135.679,573.6
136.243,563.66
136.788,545.09
137.359,570.43
137.906,547.37
138.078,171.86
138.476,397.79
138.671,195.24
139.045,374.41
139.219,173.79
139.615,395.85
139.998,382.81
140.185,186.84
140.759,574.3
141.364,605.09
141.986,621.97
142.629,642.99
143.24,610.55
143.914,674.16
144.588,673.82
145.223,635.06
145.815,591.97
146.467,652.64
147.07,602.4
147.692,622.67
148.297,605.23
148.892,594.21
149.529,637.56
150.132,602.94
150.764,631.36
151.381,617.46
152.016,635.24
152.633,616.74
153.291,657.58
153.96,669.2
154.586,625.99
155.209,622.96
155.797,587.85
156.391,594.33
157.0,609.29
159.361,2360.7
159.914,552.99
160.534,620.41
161.142,607.69
161.829,686.62
162.481,652.53
163.14,659.29
163.763,622.35
164.403,640.43
165.026,623.1
165.654,627.48
166.248,594.41
166.821,572.95
167.378,556.66
167.959,581.38
168.545,585.68
169.156,610.99
169.725,568.83
170.367,642.17
170.987,620.35
171.584,597.0
172.188,603.79
172.799,610.59
173.462,663.22
174.102,640.05
174.725,622.96
175.327,602.58
176.519,1191.8
177.18,660.81
177.773,592.86
178.349,576.45
178.952,602.86
179.538,585.72
180.167,628.92
180.76,592.72
181.377,617.93
182.017,639.17
182.645,628.53
183.273,627.96
183.885,611.66
184.528,643.37
185.072,543.74
185.679,606.71
186.325,646.71
186.916,591.03
187.492,575.66
188.098,605.59
188.66,562.61
189.163,502.53
189.714,551.24
190.278,563.64
190.893,615.05
191.515,622.61
192.081,565.4
192.706,625.69
193.318,611.2
193.911,593.3
194.53,619.04
195.152,621.66
195.818,666.88
196.433,614.8
197.107,673.63
197.501,394.12
197.734,233.11
198.158,423.88
198.361,203.35
198.598,236.32
198.989,390.92
199.598,609.22
200.246,648.65
200.862,615.23
201.515,653.64
202.185,670.05
202.859,674.12
203.52,660.7
204.167,646.82
204.821,654.24
205.452,630.35
206.079,627.8
206.682,602.6
207.291,609.29
207.922,630.92
208.547,625.04
209.155,607.39
209.749,594.6
210.416,667.08
211.085,668.39
211.753,667.81
213.05,1297.1
213.712,662.23
214.288,576.03
214.88,591.7
215.474,594.17
216.029,555.11
216.592,563.01
217.196,604.46
217.782,585.45
218.377,595.53
218.943,566.12
219.546,602.48
220.148,602.59
220.817,668.11
221.46,643.0
222.118,657.92
222.837,719.54
223.424,587.37
224.038,613.7
224.7,661.47
225.32,620.3
225.906,586.42
226.535,628.31
227.136,601.48
227.742,605.71
228.336,594.52
228.926,589.99
229.501,574.56
230.068,567.32
230.678,609.46
231.312,634.48
231.994,681.82
232.642,647.96
233.299,657.03
233.905,605.89
234.537,632.17
235.158,621.33
235.789,630.49
236.434,645.27
237.06,626.02
237.694,633.53
238.335,641.2
238.951,615.74
239.578,627.54
240.25,672.26
240.904,653.58
241.574,670.49
242.19,616.0
242.835,644.57
243.465,629.54
244.09,624.96
244.677,587.56
245.302,624.55
245.932,630.34
246.542,610.15
247.197,655.07
247.85,652.69
248.516,666.14
249.166,649.54
249.852,686.08
250.506,654.07
251.208,702.71
251.812,603.47
252.457,644.94
253.117,660.47
253.725,607.49
254.309,583.96
254.872,563.13
255.451,579.39
256.064,613.11
256.635,570.22
257.226,591.9
257.796,569.33
258.368,572.13
258.919,550.62
259.53,611.25
260.112,582.07
260.513,401.22
260.744,231.27
261.138,393.35
261.377,239.14
261.601,224.06
262.009,408.43
262.637,627.15
263.273,636.84
263.884,610.67
264.559,674.99
265.145,586.25
265.783,637.7
266.398,614.88
266.973,574.89
267.571,598.21
268.175,604.23
268.773,597.59
269.37,596.92
269.977,607.32
270.579,601.87
271.255,676.25
271.896,640.49
272.588,691.94
273.217,629.06
273.815,597.93
274.403,588.48
275.045,641.62
275.633,588.45
276.216,582.59
276.833,616.94
277.409,576.01
278.033,624.3
278.643,610.3
279.251,608.16
279.858,606.46
280.5,642.05
281.131,630.84
281.722,591.6
282.35,627.59
283.002,652.23
283.684,681.95
284.372,687.74
285.009,636.9
285.588,578.98
286.155,566.8
286.763,608.25
287.371,608.14
287.939,568.49
288.505,565.39
289.108,603.32
289.642,533.93
290.224,581.83
290.831,606.95
291.504,673.21
292.129,624.55
292.78,651.03
293.406,625.97
294.093,687.61
294.685,592.06
295.263,578.01
295.842,578.42
296.423,581.57
296.956,533.15
297.582,625.85
298.212,630.1
298.808,595.6
299.406,597.66
300.02,614.21
